date,Karachi,Hyderabad,Sukkur,Larkana,Quetta,Bahawalpur,Multan,Faisalabad,Lahore,Gujranwala,Sialkot,Rawalpindi,Islamabad,Peshawar,Muzaffarabad
2002-09-01,2.9,0.0,3.2,2.5,6.1,22.4,64.5,69.4,50.5,60.4,56.8,57.800000000000004,40.300000000000004,23.9,36.6
2002-10-01,0.0,0.0,0.0,0.0,0.5,0.0,2.6,14.4,6.500000000000001,6.0,2.0,15.8,10.899999999999999,8.6,14.4
2002-11-01,1.1,0.0,5.5,5.199999999999999,19.2,16.5,8.899999999999999,4.0,2.8,2.2,1.9,4.3,2.3,6.4,5.5
2002-12-01,1.0,0.3,2.5,4.3,19.5,4.1,8.2,31.9,9.4,15.8,15.2,58.8,62.9,28.8,79.4
2003-01-01,3.0,1.4000000000000001,1.4,0.30000000000000004,26.0,4.3,1.5,14.200000000000001,13.100000000000001,21.4,16.7,19.6,19.1,24.1,40.300000000000004
2003-02-01,2.7,1.2,18.0,4.5,55.7,28.7,31.300000000000004,50.800000000000004,111.80000000000001,172.2,209.6,252.29999999999998,275.2,92.1,334.7
2003-03-01,0.0,0.0,0.0,0.0,19.4,2.8000000000000003,6.4,67.8,49.5,98.8,99.1,116.4,141.1,77.3,216.3
2003-04-01,0.0,0.0,0.0,0.0,9.8,1.2000000000000002,3.8,5.8,10.4,25.4,28.0,67.2,66.9,61.4,175.0
2003-05-01,0.1,2.6,1.4,4.4,4.1,3.3,3.2,5.0,2.4,10.1,13.2,10.3,18.400000000000002,38.0,121.8
2003-06-01,0.4,2.8,0.2,0.0,0.0,3.1,9.9,24.5,39.0,57.7,65.5,37.1,22.9,19.8,14.2
2003-07-01,212.4,324.7,130.3,158.7,56.9,205.0,144.6,135.1,167.5,260.8,316.3,151.6,144.4,123.7,121.8
2003-08-01,2.4,9.1,18.7,25.400000000000002,28.099999999999998,82.6,64.9,85.3,120.0,191.6,213.5,154.6,151.8,155.7,142.2
2003-09-01,0.5,0.0,0.0,0.0,1.3,4.7,24.0,54.2,67.0,124.7,113.9,166.4,128.7,160.7,81.6
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9000000000000001,0.2,1.9,0.6000000000000001,4.1000000000000005,9.1,25.0,22.2
2003-11-01,0.1,0.0,0.0,0.0,12.1,0.0,2.3,15.2,14.4,27.400000000000002,24.9,21.1,36.5,35.3,65.7
2003-12-01,0.0,0.0,0.3,0.2,2.4,1.1,0.2,4.4,15.1,35.4,52.5,71.39999999999999,71.4,19.099999999999998,67.2
2004-01-01,7.8,1.5,4.8,4.2,56.5,15.1,17.6,45.6,37.0,87.1,77.4,117.5,134.5,51.3,174.3
2004-02-01,0.0,0.0,0.0,0.0,11.6,2.9,2.1,10.3,13.3,31.199999999999996,37.699999999999996,61.7,57.0,68.1,101.2
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.3,1.5,1.6,3.4,14.4,24.4
2004-04-01,0.0,3.0,2.2,2.3,5.6,4.9,3.3,21.0,84.69999999999999,123.0,138.7,110.30000000000001,122.5,58.400000000000006,113.0
2004-05-01,0.0,0.0,0.8,2.0,2.4,0.8,2.4,15.7,6.2,24.4,8.3,17.900000000000002,29.3,3.8,29.2
2004-06-01,4.8,1.6,1.7,6.7,0.0,14.100000000000001,18.8,9.8,53.7,62.0,44.4,30.2,21.8,8.3,31.3
2004-07-01,7.8,0.0,0.7999999999999999,0.5,11.3,3.4,11.9,37.2,65.2,105.89999999999999,99.0,79.1,90.3,87.2,73.7
2004-08-01,5.5,6.300000000000001,3.4,3.4999999999999996,14.7,51.2,69.8,89.2,103.39999999999999,160.9,185.0,72.0,59.400000000000006,182.29999999999998,100.4
2004-09-01,3.0,0.2,0.6,1.0999999999999999,14.4,6.3,5.6,31.0,12.799999999999999,35.5,29.2,73.2,72.9,92.0,86.39999999999999
2004-10-01,11.299999999999999,46.199999999999996,3.2,4.9,0.0,5.4,21.7,20.0,35.1,49.199999999999996,54.3,157.0,171.7,112.6,73.1
